slug,display_name,industry_slug,logo_url,hq_location,size_bucket
doordash,DoorDash,e-commerce,https://logo.clearbit.com/doordash.com,"San Francisco, CA",mid-market
instacart,Instacart,e-commerce,https://logo.clearbit.com/instacart.com,"San Francisco, CA",mid-market
salesforce,Salesforce,enterprise-saas,https://logo.clearbit.com/salesforce.com,"San Francisco, CA",big-tech
databricks,Databricks,data-analytics,https://logo.clearbit.com/databricks.com,"San Francisco, CA",enterprise
snowflake,Snowflake,data-analytics,https://logo.clearbit.com/snowflake.com,"Bozeman, MT",enterprise
palantir,Palantir,data-analytics,https://logo.clearbit.com/palantir.com,"Denver, CO",enterprise
atlassian,Atlassian,enterprise-saas,https://logo.clearbit.com/atlassian.com,"San Francisco, CA",enterprise
snap,Snap,social,https://logo.clearbit.com/snap.com,"Santa Monica, CA",mid-market
linkedin,LinkedIn,social,https://logo.clearbit.com/linkedin.com,"Sunnyvale, CA",big-tech
pinterest,Pinterest,social,https://logo.clearbit.com/pinterest.com,"San Francisco, CA",mid-market
tiktok,TikTok,social,https://logo.clearbit.com/tiktok.com,"Culver City, CA",big-tech
discord,Discord,social,https://logo.clearbit.com/discord.com,"San Francisco, CA",mid-market
adobe,Adobe,creative-tools,https://logo.clearbit.com/adobe.com,"San Jose, CA",big-tech
figma,Figma,creative-tools,https://logo.clearbit.com/figma.com,"San Francisco, CA",mid-market
canva,Canva,creative-tools,https://logo.clearbit.com/canva.com,"Sydney, AU",mid-market
spacex,SpaceX,aerospace,https://logo.clearbit.com/spacex.com,"Hawthorne, CA",enterprise
anduril,Anduril,aerospace,https://logo.clearbit.com/anduril.com,"Costa Mesa, CA",enterprise
blue-origin,Blue Origin,aerospace,https://logo.clearbit.com/blueorigin.com,"Kent, WA",enterprise
roblox,Roblox,entertainment,https://logo.clearbit.com/roblox.com,"San Mateo, CA",mid-market
riot-games,Riot Games,entertainment,https://logo.clearbit.com/riotgames.com,"Los Angeles, CA",mid-market
tempus,Tempus AI,biotech,https://logo.clearbit.com/tempus.com,"Chicago, IL",mid-market
benchling,Benchling,biotech,https://logo.clearbit.com/benchling.com,"San Francisco, CA",mid-market
mckinsey,McKinsey,consulting,https://logo.clearbit.com/mckinsey.com,"New York, NY",enterprise
bcg,BCG,consulting,https://logo.clearbit.com/bcg.com,"Boston, MA",enterprise
bain,Bain,consulting,https://logo.clearbit.com/bain.com,"Boston, MA",enterprise
goldman-sachs,Goldman Sachs,hft-trading,https://logo.clearbit.com/goldmansachs.com,"New York, NY",enterprise
bloomberg,Bloomberg,enterprise-saas,https://logo.clearbit.com/bloomberg.com,"New York, NY",enterprise
deloitte,Deloitte,consulting,https://logo.clearbit.com/deloitte.com,"New York, NY",enterprise
ernst-young,Ernst & Young,consulting,https://logo.clearbit.com/ey.com,"New York, NY",enterprise
pwc,PwC,consulting,https://logo.clearbit.com/pwc.com,"New York, NY",enterprise
jp-morgan,JP Morgan,fintech,https://logo.clearbit.com/jpmorgan.com,"New York, NY",enterprise
wells-fargo,Wells Fargo,fintech,https://logo.clearbit.com/wellsfargo.com,"San Francisco, CA",enterprise
aws,AWS,big-tech,https://logo.clearbit.com/aws.amazon.com,"Seattle, WA",big-tech
epic-systems,EPIC Systems,biotech,https://logo.clearbit.com/epic.com,"Verona, WI",enterprise
